media_group_id,country,project,media_article_0,media_article_1,media_article_2,media_article_3,media_article_4,media_article_5,media_article_6,media_article_7,media_article_8,media_article_9,media_article_10,media_article_11,media_article_12,media_article_13,media_article_14,media_article_15,media_article_16,media_article_17,media_article_18,media_article_19,media_article_20,media_article_21,media_article_22,media_article_23,media_article_24,media_article_25,media_article_26,media_article_27,media_article_28,media_article_29,media_article_30,media_label_0,media_label_1,media_label_2,media_label_3,media_label_4,media_label_5,media_label_6,media_label_7,media_label_8,media_label_9,media_label_10,media_label_11,media_label_12,media_label_13,media_label_14,media_label_15,media_label_16,media_label_17,media_label_18,media_label_19,media_label_20,media_label_21,media_label_22,media_label_23,media_label_24
kmeans_plain_c6_g11,6,media,Martin Bashir,Michael Moore,Neal Boortz,Videos and audio recordings of Osama bin Laden,Serial (podcast),Katie Nolan,USA Today,Rush Limbaugh–Sandra Fluke controversy,Rachel Maddow,Factoid,Culture of fear,Dumbing down,The Guardian,Inquisitr,Adbusters,Caesar's Messiah,McClatchy,Reuters,Muhammad al-Durrah incident,Ars Technica,The Jewish Chronicle,Ed Schultz,Common Dreams,The Village Voice,Tamarind,Media circus,Plame affair,Frank Reynolds,Attack ad,Instapundit,Grub Street,post,reporting,american journalists,politics of the united states,propaganda,isbn,claim,life,cbs,,war,abc news,president,the new york times,find,american,years,new york times,msnbc,pulitzer prize,media in the united states,production,times,births by decade,states
LDA_c5_g0,5,media,PlayStation,Lip sync,Standard (warez),Popular music,Digital television,Composite video,Lmao,Video CD,High-dynamic-range video,Mini CD,High dynamic range,DVD,Broadband,Satellite television,Musical ensemble,Module file,Digital signal processing,Smart TV,Non-linear media,Page layout,Cassette tape,Jazz,Comparison of MIDI editors and sequencers,Digital video recorder,Digital distribution,Typing,Digital signal processor,Digital video,Satellite,Video art,Digital audio workstation,standards,audio,high efficiency video coding,,software,electronics,digital media,video,systems,dvd,jazz,,developed,media technology,record,uses,moving picture experts group,,video,standard,,music,system,use,media formats
kmeans_plain_c1_g1,1,media,Euronews,BeIN Media Group,Mediaset,Country code top-level domain,ERTU,Baby Powder,Tiscali,Rossiya Segodnya,Le Monde,Haymarket Media Group,Middle-market newspaper,CNN International,All-Russia State Television and Radio Broadcasting Company,European Broadcasting Union,John Singleton (Australian entrepreneur),BBC Cymru Wales,Grupo Globo,Interfax,ABS-CBN,Reuters Group,Voice of Russia,Lagardère Group,TNT (Russian TV channel),GMA Network (company),Mega Channel,RIA Novosti,Asia-Pacific Broadcasting Union,Sky News,Agence France-Presse,Dentsu Aegis Network,Yomiuri Shimbun,media by country,establishments by country and year,,newspaper,london,group,bbc,russian,establishments in europe by year,broadcast,service,regional,reference,government,united kingdom,serve,community,edition,news,establishments by year and country,media,media in europe by country,bbc,radio station,reporters without borders
kmeans_plain_c6_g0,6,media,Trial balloon,LiveLeak,Godey's Lady's Book,Firing of Shirley Sherrod,Bomis,Roone Arledge,CNN controversies,National Post,Amy Goodman,Media of the United States,24-hour news cycle,J. Walter Thompson,Charlie Rose,Rush Limbaugh,Whataboutism,Media bias,Tabloid journalism,Obfuscation,Mortimer Zuckerman,The Post and Courier,Ms. (magazine),Censorship in China,Disinformation,The Washington Post,Michael Moore,Bloody Saturday (photograph),Tamarind,Cal Thomas,Vice News,Army Times,Echo chamber (media),pulitzer prize,propaganda,production,cbs,life,,politics of the united states,claim,american journalists,war,the new york times,post,msnbc,president,years,american,births by decade,new york times,times,abc news,isbn,media in the united states,find,states,reporting
kmeans_plain_c0_g7,0,media,Navbharat Times,Pakistan Remote Sensing Satellite,Sony Aath,India Today (TV channel),The Times Group,Newspaper circulation,Punjab Kesari,HT Media,Anandabazar Patrika,Mahaka Media,Bartaman,Subhash Chandra,Sahara India Pariwar,History of newspaper publishing,Rajasthan Patrika,India TV,Prothom Alo,Bleach,Star Jalsha,Jalsha Movies,Times Now,Zee Entertainment Enterprises,The Hindu,ABP Ananda,NDTV India,D B Corp Ltd.,Ei Samay Sangbadpatra,India News,Eros Now,Dainik Bhaskar,Dainik Jagran,editorial,law,indian,national,news media of india,media in india by medium,references,media in india,washington post,india,india,pakistan,,channels,mumbai,hindi,delhi,hindi,media in india by city,,political,,english,launched,media companies of india
LDA_c6_g3,6,media,Dainik Jagran,McClatchy,Broadcast network,CNN,Hellenic Broadcasting Corporation,21st Century Fox,CNN International,Radiotelevizija Slovenija,Dentsu Aegis Network,RTL Group,Bell Pottinger,Group Nine Media,SUN Group,Vessel (website),Virgin Media,TV Azteca,Leaf Group,Low-power broadcasting,Bleach,News Nation,PR Newswire,India TV,Fox Business Network,Taft Broadcasting,Air America (radio network),Video on demand,Euronews,Google Videos,Pearson plc,StarMaker Interactive,CNBC Awaaz,channel,,united states,news,,company,pay television,tv,,network,programming,launched,media companies by country,,television by country,,,television by year,service,media companies by year of establishment,television networks by country,cable television,india,broadcast,youtube
LDA_c6_g48,6,media,Paid news in India,Paramount Network,Maharashtra Times,Videos and audio recordings of Osama bin Laden,Sponsor (commercial),Star Jalsha,RCA,Skai TV,21st Century Fox,EMI Music Publishing,Xfinity Streampix,Al Mayadeen,Prometheus Global Media,Firing of Shirley Sherrod,Deutsche Welle,WarnerMedia,HT Media,Dainik Bhaskar,RTL Group,YouTube Rewind,Media of India,Liberty Media,ABP Ananda,Business Wire,NBCUniversal,IHS Markit,Reuters,Quiz,Commercial broadcasting,McClatchy,UBM plc,television by country,,channel,,pay television,media companies by year of establishment,,television by year,company,service,network,united states,broadcast,media companies by country,,tv,cable television,,youtube,television networks by country,india,,programming,news,launched
kmeans_plain_c5_g1,5,media,Naming rights,Low-power broadcasting,ESPN,Mac n' Cheetos,Revolt (TV network),Bloomberg Radio,Program and System Information Protocol,FXX,Christian Broadcasting Network,Liberty Media,Shaw Communications,MSNBC,"David Thomson, 3rd Baron Thomson of Fleet",Criticism of The Walt Disney Company,Univision Communications,David Sarnoff,Martha Stewart Living Omnimedia,Telepictures,NBC chimes,Dick Clark Productions,Hubbard Broadcasting,Julie Chen,Cable television,Fox Business Network,Ziff Davis,Bill Weir,Call sign,CNBC,Salem Media Group,Time Inc.,"Roy Thomson, 1st Baron Thomson of Fleet",new york city,programming,offer,access,media companies of the united states,company,canada,cable television,canada,network,software,broadcasting,nbc,owned,cable,,television broadcasting companies of the united states,television in the united states,,media companies by year of establishment,marketing,united states,platform,stations,establishments in the united states by year
LDA_c2_g20,2,media,Graphic violence,Parasocial interaction,Publication,News,Information explosion,Content analysis,Media consumption,Fairness and Accuracy in Reporting,Ars Technica,Cohen v. California,Baby Powder,Crisis communication,Media activism,Cost per mille,White propaganda,Communication studies,Narrowcasting,Creative director,24-hour news cycle,Electronic media,Classified advertising,Media and gender,Censorship in China,Scandal,Content creation,Media planning,Advertising,Exploitation of women in mass media,Communication design,Infotainment,New World Information and Communication Order,social_media,social media,people,social,communication,communication studies,,research,,,medium,advertising,,mass media,,communication,information,social sciences,studies,references,,society,use,marketing,behavior
kmeans_plain_c6_g8,6,media,Freedom of Speech (painting),Seymour Hersh,Censorship in China,Robert Novak,Whistleblower,The Post and Courier,Bernie Ward,Ted Koppel,Vice News,Tucker Carlson,Zine,Firing of Shirley Sherrod,Tom Wheeler,History of propaganda,LGBT in Islam,White propaganda,Army Times,Media of the United States,Censorship in the Soviet Union,Propaganda,Media bias in the United States,Mainstream media,History of Fox News,The Young Turks,Walter Lippmann,Lmao,LiveLeak,Sarah Koenig,Leveson Inquiry,Newsmax Media,Barbie Liberation Organization,msnbc,life,years,the new york times,pulitzer prize,isbn,american journalists,propaganda,new york times,american,abc news,cbs,states,post,times,reporting,,production,claim,births by decade,president,politics of the united states,war,media in the united states,find
kmeans_augmented_c5_g0,5,media,Zine,Fangoria,Musical ensemble,Jean Grey in other media,From The Doctor to my son Thomas,Lip sync,Movie star,Silence,BDSM in culture and media,Creative director,Leo Burnett,Rough Trade Records,Grip (job),Max Clifford,Graphic violence,Cinematography,More Demi Moore,Elijah Daniel,Best boy,Cinematographer,Web series,Celebrity culture,YouTube,Doctor Doom in other media,Defy Media,Rock and roll,Kirsty Gallacher,Satellite,Lead vocalist,Human voice,Women in music,film theory,films,production,filmmaking,film,film,released,years,music,arts,entertainment,youtube,entertainment occupations,,programme,,broadcasting,screenplay,artists,april,abc,jazz,character,fox,features
kmeans_plain_c6_g24,6,media,Alfred Eisenstaedt,Cause célèbre,Tamarind,Afghan War documents leak,Barack Obama on social media,George Orwell bibliography,Rush Limbaugh,Al Jazeera controversies and criticism,Killing Jesus,Barbie Liberation Organization,Racial bias in criminal news in the United States,Fresh Air,Russia Insider,Bill Moyers,Media circus,Reuters,Conflict-of-interest editing on Wikipedia,CNN controversies,Dumbing down,Hustler Magazine v. Falwell,The Daily Telegraph,Lying press,Bob Woodruff,Factoid,ProPublica,Maricopa County Sheriff's Office controversies,Jessica Feshbach,The New Yorker,Spin (propaganda),Seymour Hersh,Censorship in the Soviet Union,claim,states,reporting,president,isbn,cbs,pulitzer prize,msnbc,propaganda,life,american,production,politics of the united states,media in the united states,new york times,the new york times,,american journalists,abc news,post,years,war,births by decade,times,find
kmeans_plain_c6_g21,6,media,Common Dreams,Jeff Rense,Ed Schultz,Quiz,Fairness and Accuracy in Reporting,Trial balloon,Mediaite,Michael Bloomberg,The Independent,View of the World from 9th Avenue,Pulitzer Prize for Criticism,Foreign Affairs,Non-apology apology,Firing of Shirley Sherrod,LGBT rights in Pakistan,Katie Nolan,Plame affair,Pulitzer Prize for Investigative Reporting,Caitlin Moran,Gio Benitez,Yellow journalism,Freedom of Speech (painting),John Stossel,Media Matters for America,The Real News,The Jewish Chronicle,Serial (podcast),Incipit,George Orwell,Terry Moran,Martin Bashir,propaganda,president,pulitzer prize,times,politics of the united states,life,american,new york times,production,,births by decade,the new york times,reporting,media in the united states,years,post,war,find,american journalists,claim,msnbc,cbs,isbn,abc news,states
kmeans_augmented_c3_g10,3,media,Video on demand,DVD,Google Videos,Film scanner,CD-ROM,Digital signal processor,Electronic news-gathering,Mac n' Cheetos,Digital audio,TiVo,Copy protection,Camera,PlayStation,Holography,MPEG-H,Mamiya,Digital audio workstation,Smart TV,Video CD,Digital video,Light,Pentax,Digital distribution,Digital video recorder,360-degree video,ISDB,Nikon,Composite video,Chrominance,Submarine communications cable,Spread spectrum,film and video technology,sensor,electronics,different,systems,uses,dvd,standard,sony,standards,audio,,information and communications technology,moving picture experts group,single,software,develop,media technology,,tape,video,high efficiency video coding,video,developed,formats
kmeans_augmented_c4_g6,4,media,Pakistan Electronic Media Regulatory Authority,The Times of India,Zee Business,History of newspaper publishing,India News,Pakistan Remote Sensing Satellite,Radia tapes controversy,Jalsha Movies,NDTV,Ei Samay Sangbadpatra,Zee TV,D B Corp Ltd.,Aaj Tak,Dainik Jagran,Zee Entertainment Enterprises,Eros Now,Zee Bangla,Star Jalsha,Sony Aath,Mazhavil Manorama,Anandabazar Patrika,India Today (TV channel),India TV,TEN Cricket,Gujarat Samachar,Prothom Alo,Subhash Chandra,Dainik Bhaskar,Navbharat Times,Baby Powder,Bartaman,india,,national,washington post,media companies of india,,pakistan,media in india by medium,channels,media in india by city,media in india,india,hindi,law,references,political,indian,launched,delhi,hindi,news media of india,mumbai,,english,editorial
LDA_c2_g9,2,media,Factoid,Mistake,Body worn video,Censorship,Multimedia,Social media mining,Communication ethics,Spin (propaganda),News,Cohen v. California,Public relations,Celebrity,Mashup (video),Visual communication,"Fear, uncertainty, and doubt",Mainstream,Propaganda,Communication design,Media activism,Panel discussion,Misinformation,Alternative media,Trial balloon,Racial bias in criminal news in the United States,Slogan,Communication,Elsevier,Prosumer,Hustler Magazine v. Falwell,Sexuality in music videos,Media event,social media,mass media,communication studies,references,,communication,communication,,advertising,,research,medium,society,studies,use,,social_media,social,behavior,,people,information,social sciences,marketing,
LDA_c3_g6,3,media,David Sarnoff,Rough Trade Records,Leveson Inquiry,John Singleton (Australian entrepreneur),Martin Bashir,Pulitzer Prize for Public Service,Life (magazine),Bill Weir,Weekly World News,BDSM in culture and media,Allen & Company,Mario Impemba,Ms. (magazine),Mortimer Zuckerman,Matt Shepard (sportscaster),Street performance,"Kenneth Thomson, 2nd Baron Thomson of Fleet",Seymour Hersh,Time (magazine),RYOT,University of the Arts London,Muhammad al-Durrah incident,Hearst Communications,Bernie Ward,Inés Sainz,Doctor Doom in other media,Satellite,Mahaka Media,Jessica McClure,Bill Moyers,Media Research Center,john,film,20th-century births,years,new york city,worked,life,years,births by decade,cnn,career,gold ,abc news,,,year,award,survivors,series,work,new_york,the new york times,people,producer,
LDA_c6_g23,6,media,MSNBC,Fox Corporation,NBCUniversal,CNN en Español,E. W. Scripps Company,Sun TV Network,Dainik Bhaskar,Sony Crackle,Videos and audio recordings of Osama bin Laden,ABS-CBN,Deutsche Welle,India Today (TV channel),News ticker,Paramount Network,RCA,VidCon,Radia tapes controversy,Ofcom,Submarine communications cable,WarnerMedia,Country code top-level domain,SUN Group,Thrillist,Vanilla,Corus Entertainment,Sponsor (commercial),Al Jazeera controversies and criticism,Nielsen Holdings,Hellenic Broadcasting Corporation,Shari Redstone,Web television,launched,service,pay television,programming,tv,,united states,television by country,cable television,channel,news,network,,india,television networks by country,broadcast,television by year,,youtube,media companies by country,,,company,,media companies by year of establishment
LDA_c5_g12,5,media,OpenELEC,TiVo,Digital signage,Four-leaf clover,WiDi,Color television,Audiovisual,High dynamic range,XAVC,Digitization,High Efficiency Video Coding,Ultra-high-definition television,Lip sync,Mixtape,Jazz,Chrominance,Northern soul,Digital audio workstation,PlayStation,Non-linear media,Electronic news-gathering,Soul music,Napster,Typing,Digital television,Blues,Human voice,Comparison of MIDI editors and sequencers,Ambarella Inc.,History of music,DVD,dvd,electronics,media technology,high efficiency video coding,developed,standards,digital media,,video,moving picture experts group,video,system,uses,,standard,audio,record,software,,media formats,jazz,use,music,,systems
kmeans_augmented_c0_g14,0,media,Army Times,Narcotizing dysfunction,Bloody Saturday (photograph),Pulitzer Prize for Public Service,Censorship,Ars Technica,CNN controversies,Embedded journalism,Bernie Ward,Media Research Center,Afghan War documents leak,Tamarind,New Journalism,Balloon boy hoax,White propaganda,Alfred Eisenstaedt,RYOT,Maricopa County Sheriff's Office controversies,Attack ad,Leveson Inquiry,Seymour Hersh,Radio Télévision Libre des Mille Collines,Beck v. Eiland-Hall,Air America (radio network),Donny Deutsch,Dan Abrams,Killing Jesus,Foreign Affairs,Mistakes were made,Misinformation,Bernie Bro,american,,propaganda,cnn,years,,american journalists,life,isbn,war,the new york times,reporting,american journalism,politics of the united states,find,pulitzer prize,man,post,journalism,media in the united states,claim,new york times,times,describe,states
kmeans_augmented_c6_g14,6,media,Chinese Wikipedia,STS (TV channel),I (newspaper),Reuters Group,Censorship in Saudi Arabia,Daily Mirror,RTL Group,Independent Press Standards Organisation,Berliner (format),Voice of Russia,Virgin Media,Dentsu Aegis Network,Haymarket Media Group,Rossiya Segodnya,Mistake,Daily Mirror,Alexander Lebedev,Concentration of media ownership,Dubai Media City,John Singleton (Australian entrepreneur),De Telegraaf,Television in Russia,Bonnier Group,Hellenic Broadcasting Corporation,Skai TV,Media of the United Kingdom,Corriere della Sera,Public inquiry,Telewizja Polska,"Tony Hall, Baron Hall of Birkenhead",BBC Store,serve,establishments by country and year,establishments by year and country,community,bbc,bbc,service,reference,newspaper,broadcast,radio,tv,united kingdom,reporters without borders,media in europe by country,government,media by country,london,edition,group,radio station,media,news,regional,establishments in europe by year
LDA_c6_g25,6,media,HT Media,TV5 Network,History of Fox News,RTL Group,Afghan War documents leak,Blaze Media,D B Corp Ltd.,FX (TV channel),Mediaite,Diapers,Media market,Al Jazeera English,BeIN Media Group,YouTube,NDTV,Group Nine Media,FXX,Christian Broadcasting Network,WPP plc,Web series,21st Century Fox,Michael Redstone,Fox News,Live streaming,Sumner Redstone,HuffPost,DisneyNow,Uproxx,Timeline of social media,Telepictures,Fox Broadcasting Company,launched,broadcast,television by country,channel,,,youtube,media companies by year of establishment,pay television,,,,india,cable television,tv,news,,company,television by year,united states,service,network,media companies by country,programming,television networks by country
LDA_c6_g35,6,media,Sahara India Pariwar,CNBC,Meredith Corporation,Tribune Publishing,CNN controversies,Al Arabiya,The Young Turks,Economist Group,Radiotelevizija Slovenija,Iraq War documents leak,Canwest,MSNBC,Real News Update,Al Jazeera English,YouTube Rewind 2018: Everyone Controls Rewind,Sony Aath,Vimeo,Media market,Splinter News,Star Jalsha,FX (TV channel),Anonymous (group),Religious broadcasting,Diapers,Advance Publications,Bell Media,Christian Broadcasting Network,The Real News,HuffPost,Bauer Media Group,Jalsha Movies,cable television,channel,,company,television by country,united states,launched,television by year,,service,programming,,tv,television networks by country,media companies by country,media companies by year of establishment,,pay television,network,,news,youtube,broadcast,,india
kmeans_plain_c1_g8,1,media,Al Jazeera English,RIA Novosti,Bertelsmann,Yomiuri Shimbun,News agency,All-Russia State Television and Radio Broadcasting Company,Mondo TV,Media of Russia,Interfax,Al Jazeera Media Network,Rossiya Segodnya,Quiz,Gazprom-Media,BBC,Media of Turkey,BBC Cymru Wales,RTL Group,TNT (Russian TV channel),Alexander Lebedev,Televisión Española,Agence France-Presse,BBC Store,John Singleton (Australian entrepreneur),Ofcom,Public inquiry,El País,Haymarket Media Group,I (newspaper),Sunday Mirror,Skai TV,STS (TV channel),broadcast,media,regional,london,bbc,news,serve,united kingdom,government,establishments by country and year,establishments by year and country,radio station,group,service,russian,community,reference,bbc,reporters without borders,edition,media by country,establishments in europe by year,newspaper,,media in europe by country
kmeans_plain_c6_g7,6,media,Ynetnews,The New York Times,The Times of Israel,Ms. (magazine),Dan Harris (journalist),Big Think,Terry Moran,Misinformation,Anonymous (group),Ladies' Home Journal,Jessica McClure,Spiral of silence,Godey's Lady's Book,Beck v. Eiland-Hall,Henry Luce,John Stossel,Media bias,Cal Thomas,RYOT,Trial balloon,Baby Powder,Tabloid journalism,Matt Drudge,Gavin McInnes,Communist propaganda,Bloody Saturday (photograph),Pulitzer Prize for Breaking News Photography,Mediaite,Project Chanology,Lying press,J. Walter Thompson,propaganda,war,cbs,abc news,media in the united states,life,times,post,states,reporting,,pulitzer prize,american,the new york times,new york times,msnbc,production,years,american journalists,president,claim,politics of the united states,find,births by decade,isbn
LDA_c3_g0,3,media,Roone Arledge,Vulcan Inc.,National Science and Media Museum,Fleischer Studios,The Entertainment Capital of the World,Ted Koppel,Jessica McClure,Pat Robertson,"Nevertheless, she persisted",My Dad Wrote a Porno,Henry Luce,Screen International,Katie Nolan,BBC Sport,Pulitzer Prize,Dannielynn Birkhead paternity case,Busted!,Four-leaf clover,John Stossel,Executive producer,John Singleton (Australian entrepreneur),Tiny Desk Concerts,Army Times,Max Clifford,La Academia,Vision (Marvel Comics),Martin Bashir,Travel documentary,George Orwell bibliography,Elijah Daniel,Pulitzer Prize for Investigative Reporting,births by decade,series,year,years,20th-century births,new_york,,gold ,life,new york city,award,people,work,survivors,,film,years,,cnn,career,worked,abc news,the new york times,john,producer
LDA_c2_g25,2,media,Bleach,Digital content,Marketing,Infotainment,Gimmick,Ideogram,Media richness theory,Black propaganda,Publicity stunt,Adbusters,Censorship in the Soviet Union,Media bias,24-hour news cycle,Narrowcasting,Publication,White propaganda,Creative director,Cost per mille,Social media and political communication in the United States,Narrative paradigm,Media buying,Fairness and Accuracy in Reporting,Propaganda,Black Legend,Influence of mass media,Manuel Castells,Disconnection,Media planning,Communist propaganda,Media (communication),Visual communication,social_media,studies,,marketing,social sciences,behavior,people,communication,,society,medium,,,communication studies,research,,social,advertising,information,communication,mass media,social media,references,use,
kmeans_plain_c1_g6,1,media,Asia-Pacific Broadcasting Union,Media of Russia,Die Welt,Euronews,Middle East Broadcasting Center,Axel Springer SE,Agence France-Presse,Deutsche Welle,La Repubblica,BBC Cymru Wales,Bonnier Group,GMA Network (company),MediaCityUK,El País,Sky News,RTL Group,BBC,Skai TV,Sunday Mirror,Vanilla,Bouygues,BBC Sport,Yomiuri Shimbun,All-Russia State Television and Radio Broadcasting Company,TalkTalk TV,I (newspaper),Guardian Media Group,STS (TV channel),Chinese Wikipedia,Bertelsmann,Antena 3 (Spain),media,russian,broadcast,radio station,regional,media in europe by country,newspaper,establishments in europe by year,news,community,service,group,bbc,serve,london,establishments by year and country,reference,media by country,reporters without borders,establishments by country and year,bbc,government,,united kingdom,edition
LDA_c5_g11,5,media,Page layout,Smart TV,Surround sound,PAL,Lists of singers,Digital signal processing,Cassette tape adaptor,Rock and roll,Stock sound effect,Spread spectrum,Women in music,MiniDVD,DTS (sound system),Quiz,Video art,Digital video recorder,Typewriter,Zoo TV Tour,Motion graphic design,Satellite,Television,Reggae,Digital Signature Algorithm,Avid Technology,MPEG-H,Home video,Composite video,Cable television,Digital distribution,CD-ROM,Alliance for Open Media,,standards,media technology,,moving picture experts group,jazz,video,use,music,,systems,electronics,dvd,media formats,developed,record,standard,uses,system,audio,,digital media,software,video,high efficiency video coding
kmeans_plain_c0_g8,0,media,CNBC Awaaz,Gujarat Samachar,All India Radio,Zee TV,Sun TV Network,Media of India,Zee Business,Newspaper,Pandit,ABP Group,Aaj Tak,Radia tapes controversy,NDTV,TEN Cricket,Mazhavil Manorama,The Times of India,Hindustan (newspaper),Pakistan Electronic Media Regulatory Authority,Zee Bangla,News Nation,ABP News,Hindustan Times,TEN Cricket,Pakistan Remote Sensing Satellite,Aaj Tak,Prothom Alo,India News,Punjab Kesari,The Hindu,Dainik Jagran,,pakistan,,channels,media in india by medium,english,launched,national,editorial,media companies of india,references,,media in india,media in india by city,news media of india,law,washington post,delhi,hindi,political,mumbai,india,,hindi,indian,india
LDA_c3_g8,3,media,Mistakes were made,Neal Boortz,Charissa Thompson,National Science and Media Museum,Production designer,George Orwell bibliography,Pulitzer Prize for Criticism,Wolverine in other media,Intelligence Squared,Edward S. Rogers Jr.,Elm Guest House claims and controversy,Lists of celebrities,Byron Pitts,Gio Benitez,Sarah Koenig,Alfred Eisenstaedt,Tyler Brûlé,Lmao,Common Dreams,Julie Chen,Sports Illustrated,Smoke signal,Caitlin Moran,Gonzo journalism,Screen International,Channel Awesome,Film director,Katie Nolan,Media circus,Fox Searchlight Pictures,Freedom of Speech (painting),award,years,births by decade,people,years,year,,film,the new york times,life,,survivors,20th-century births,,new york city,work,worked,series,career,new_york,john,gold ,cnn,producer,abc news
kmeans_augmented_c0_g9,0,media,White propaganda,Bernie Ward,Cal Thomas,Dumbing down,Barack Obama on social media,Air America (radio network),Lmao,Media Research Center,Ars Technica,VDARE,Alternative media,Killing Jesus,Black propaganda,Narcotizing dysfunction,Reuters,Censorship in the Soviet Union,Women in journalism,CBS News Sunday Morning,Caesar's Messiah,Time (magazine),Polandball,Black Legend,Bill Moyers,Censorship,Neal Boortz,Project Chanology,Jet (magazine),Sean Hannity,Satanic panic (South Africa),Freedom of Speech (painting),Non-apology apology,war,find,post,the new york times,propaganda,reporting,new york times,states,politics of the united states,isbn,times,,media in the united states,claim,american,american journalists,man,,journalism,life,pulitzer prize,american journalism,describe,years,cnn
kmeans_augmented_c6_g2,6,media,El País,Bertelsmann,Economist Group,Media of the United Kingdom,Singapore Press Holdings,Gazprom-Media,Tiscali,Concentration of media ownership,BBC News (TV channel),Corriere della Sera,Guardian Media Group,I (newspaper),BeIN Media Group,RTL Group,Quiz,Chinese Wikipedia,Lagardère Group,Al Mayadeen,Roy Greenslade,ERTU,La Repubblica,Rossiya Segodnya,Algemeen Dagblad,Yomiuri Shimbun,Al Jazeera English,Bonnier Group,Hibu,Berliner (format),TalkTalk TV,Al Jazeera,Fairfax Media,broadcast,reporters without borders,group,serve,radio station,tv,media in europe by country,london,bbc,united kingdom,regional,radio,community,newspaper,media by country,service,establishments by country and year,establishments by year and country,government,establishments in europe by year,edition,news,media,reference,bbc
kmeans_augmented_c0_g28,0,media,Media Research Center,The Post and Courier,The Independent,Black Legend,Reuters,Ted Koppel,Gavin McInnes,Muckraker,Bob Woodruff,Four-leaf clover,Media bias in the United States,Non-denial denial,Sensationalism,Balloon boy hoax,Barack Obama on social media,The Daily Telegraph,Vice News,Mainstream media,Media Matters for America,Rush Limbaugh,The Jerusalem Post,Adbusters,The Young Turks,Media bias,Dumbing down,Ladies' Home Journal,Al Franken,Plame affair,Conflict-of-interest editing on Wikipedia,The New York Times,Ms. (magazine),isbn,,journalism,years,the new york times,life,states,american journalists,american,propaganda,describe,media in the united states,pulitzer prize,claim,politics of the united states,find,reporting,war,man,cnn,american journalism,post,times,new york times,
kmeans_augmented_c3_g7,3,media,Cassette tape adaptor,Ambarella Inc.,ISDB,WiDi,Digital video,PAL,Sony α7S II,Digital photography,8-track tape,Electronic news-gathering,Ultra-high-definition television,Digital signage,Video camera,Spread spectrum,DTS (sound system),CD-ROM,Web television,Broadband,Mamiya,Module file,Acoustics,Digital audio,Blu-ray Disc recordable,High dynamic range,DVD recordable,Chrominance,Digital radio,Standard (warez),Second screen,Four-leaf clover,Mini CD,,video,uses,formats,systems,media technology,software,tape,different,standard,high efficiency video coding,moving picture experts group,single,video,standards,developed,information and communications technology,sensor,develop,,audio,electronics,film and video technology,dvd,sony
kmeans_plain_c2_g14,2,media,Cinematographer,Scenic design,YouTube Rewind,Cinematography,Documentary film,Executive producer,"Wizard People, Dear Reader",Napster,Key grip,Groucho Club,Media portrayal of lesbianism,Cross-genre,Personality rights,Focus puller,Dannielynn Birkhead paternity case,Demi's Birthday Suit,Vision (Marvel Comics),Script supervisor,History of music,Film producer,Production designer,Toronto International Film Festival,Panavision,Magneto in other media,Music,Nelvana,BDSM in culture and media,Publicist,Chris Crocker,Zoo TV Tour,Satellite,broadcasting,,arts,music,,released,jazz,artists,film theory,production,filmmaking,abc,features,films,fox,screenplay,april,youtube,film,programme,character,years,filmmaking,entertainment,film
LDA_c0_g11,0,media,El País,Telegraph Media Group,National Geographic,Toronto Star,The New York Times,The Japan Times,Newspaper,Gazette,NRC Handelsblad,Yomiuri Shimbun,The Advocate (LGBT magazine),NRC Handelsblad,La Repubblica,Die Welt,De Telegraaf,The Daily Telegraph,The Guardian,I (newspaper),Grub Street,TI Media,Magneto in other media,Chinese Wikipedia,Corriere della Sera,Incipit,Daily Mirror,Media in Toronto,The Hindu,The Globe and Mail,The Times Group,I (newspaper),,magazine,,publisher,weekly newspaper,newspapers by country,circulation,,,,publish,paper,,establishments by year,broadsheet,newspapers,newspaper of record,newspapers,publication,published,editor,newspaper,newspaper stubs,,news,publications by decade of establishment
kmeans_augmented_c2_g16,2,media,Univision Communications,Byron Pitts,HBO Now,Liberty Media,Viacom,Telemundo,News ticker,Gio Benitez,News ticker,PR Newswire,Charissa Thompson,Televisa,"David Thomson, 3rd Baron Thomson of Fleet",Telemundo,Postmedia Network,Revolt (TV network),Advance Publications,Business Wire,Lmao,IAC (company),Revolt (TV network),Numeris,Lynn Smith,Ben Sherwood,Media in Toronto,"Roy Thomson, 1st Baron Thomson of Fleet",Turner Broadcasting System,Cision,Low-power broadcasting,Christian Broadcasting Network,NBCUniversal,platform,network,access,united states,software,media companies by year of establishment,establishments in the united states by year,,television broadcasting companies of the united states,television in the united states,broadcasting,stations,programming,canada,marketing,company,nbc,owned,new york city,canada,offer,media companies of the united states,,corporation,cable television
